id,name,set,setNumber,year,type,rarity,artist,image,price,condition,status,suggestedPrice,priceCheckedAt
appletun-fusion-arts-013-184-jp,Appletun,Fusion Arts,013/184,2021,Grass,Common,Shin Nagasawa,/images/cards-collection/appletun-fusion-arts-013-184-jp.webp,,NM,available,,
latias-fusion-arts-074-100-jp,Latias,Fusion Arts,074/100,2021,Psychic,Uncommon,Yuu Nishida,/images/cards-collection/latias-fusion-arts-074-100-jp.webp,,NM,available,,
zoroark-vstar-universe-091-172-jp,Zoroark,VSTAR Universe,091/172,2022,Dark,Holo,Souichirou Gunjima,/images/cards-collection/zoroark-vstar-universe-091-172-jp.webp,,NM,available,,
banette-ex-scarlet-violet-229-198,Banette ex,Scarlet & Violet,229/198,2023,Psychic,SAR,PLANETA Mochizuki,/images/cards-collection/banette-ex-scarlet-violet-229-198.webp,,NM,available,1.78,2026-05-31
banette-ex-scarlet-violet-229-198-2,Banette ex,Scarlet & Violet,229/198,2023,Psychic,SAR,PLANETA Mochizuki,/images/cards-collection/banette-ex-scarlet-violet-229-198-2.webp,,NM,available,1.78,2026-05-31
oinkologne-ex-scarlet-violet-234-198,Oinkologne ex,Scarlet & Violet,234/198,2023,Normal,SAR,aky CG Works,/images/cards-collection/oinkologne-ex-scarlet-violet-234-198.webp,,NM,available,1.43,2026-05-31
sparkling-crystal-stellar-crown-142-142,Sparkling Crystal,Stellar Crown,142/142,2024,Normal,Other,Toyste Beach,/images/cards-collection/sparkling-crystal-stellar-crown-142-142.webp,,NM,available,0.52,2026-05-31
garganacl-ex-stellar-crown-089-142,Garganacl ex,Stellar Crown,089/142,2024,Fighting,Full Art,5ban Graphics,/images/cards-collection/garganacl-ex-stellar-crown-089-142.webp,,NM,available,,
banette-ex-scarlet-violet-088-198,Banette ex,Scarlet & Violet,088/198,2023,Psychic,Holo,PLANETA Mochizuki,/images/cards-collection/banette-ex-scarlet-violet-088-198.webp,,NM,available,,
golduck-my-pokemon-collection-008,Golduck,My Pokémon Collection,008,2025,Water,Common,Jiro Sasumo,/images/cards-collection/golduck-my-pokemon-collection-008.webp,,NM,available,,
raikou-shining-legends-32-73,Raikou,Shining Legends,32/73,2017,Electric,Rare,Mitsuhiro Arita,/images/cards-collection/raikou-shining-legends-32-73.webp,,NM,available,0.82,2026-05-31
pawmot-ex-obsidian-flames-073-197,Pawmot ex,Obsidian Flames,073/197,2023,Electric,Holo,aky CG Works,/images/cards-collection/pawmot-ex-obsidian-flames-073-197.webp,,NM,available,,
scream-tail-ex-twilight-masquerade-094-167,Scream Tail ex,Twilight Masquerade,094/167,2024,Psychic,RR,akagi,/images/cards-collection/scream-tail-ex-twilight-masquerade-094-167.webp,,NM,available,,
miraidon-ex-scarlet-violet-081-198,Miraidon ex,Scarlet & Violet,081/198,2023,Electric,Holo,5ban Graphics,/images/cards-collection/miraidon-ex-scarlet-violet-081-198.webp,,NM,available,,
oinkologne-ex-scarlet-violet-158-198,Oinkologne ex,Scarlet & Violet,158/198,2023,Normal,Holo,aky CG Works,/images/cards-collection/oinkologne-ex-scarlet-violet-158-198.webp,,NM,available,0.64,2026-05-31
paldean-clodsire-ex-paldea-evolved-130-193,Paldean Clodsire ex,Paldea Evolved,130/193,2023,Water,Full Art,PLANETA Mochizuki,/images/cards-collection/paldean-clodsire-ex-paldea-evolved-130-193.webp,,NM,available,0.83,2026-05-31
granbull-v-brilliant-stars-057-172,Granbull V,Brilliant Stars,057/172,2022,Psychic,Full Art,PLANETA Mochizuki,/images/cards-collection/granbull-v-brilliant-stars-057-172.webp,,NM,available,,
medicham-ex-stellar-crown-080-142,Medicham ex,Stellar Crown,080/142,2024,Fighting,Holo,PLANETA Yamashita,/images/cards-collection/medicham-ex-stellar-crown-080-142.webp,,NM,available,,
steelix-v-vivid-voltage-115-185,Steelix V,Vivid Voltage,115/185,2020,Steel,Full Art,Satoshi Shirai,/images/cards-collection/steelix-v-vivid-voltage-115-185.webp,,NM,available,0.84,2026-05-31
flygon-ex-surging-sparks-106-191,Flygon ex,Surging Sparks,106/191,2024,Fighting,Other,5ban Graphics,/images/cards-collection/flygon-ex-surging-sparks-106-191.webp,,NM,available,0.75,2026-05-31
skeledirge-ex-paldea-evolved-037-193,Skeledirge ex,Paldea Evolved,037/193,2023,Fire,Holo,5ban Graphics,/images/cards-collection/skeledirge-ex-paldea-evolved-037-193.webp,,NM,available,,
cyclizar-ex-surging-sparks-159-191,Cyclizar ex,Surging Sparks,159/191,2024,Normal,SAR,5ban Graphics,/images/cards-collection/cyclizar-ex-surging-sparks-159-191.webp,,NM,available,0.66,2026-05-31
cinderace-ex-stellar-crown-028-142,Cinderace ex,Stellar Crown,028/142,2024,Fire,Holo,5ban Graphics,/images/cards-collection/cinderace-ex-stellar-crown-028-142.webp,,NM,available,,
origin-forme-palkia-v-astral-radiance-039-189,Origin Forme Palkia V,Astral Radiance,039/189,2022,Water,Full Art,aky CG Works,/images/cards-collection/origin-forme-palkia-v-astral-radiance-039-189.webp,,NM,available,,
orthworm-ex-stellar-crown-162-142,Orthworm ex,Stellar Crown,162/142,2024,Steel,SR,PLANETA Mochizuki,/images/cards-collection/orthworm-ex-stellar-crown-162-142.webp,,NM,available,1.2,2026-05-31
melony-chilling-reign-195-198,Melony,Chilling Reign,195/198,2021,Water,Full Art,Taira Akitsu,/images/cards-collection/melony-chilling-reign-195-198.webp,,NM,available,5.79,2026-05-31
professor-s-research-professor-oak-celebrations-024-025,Professor's Research Professor Oak,Celebrations,024/025,2021,Normal,Full Art,Ken Sugimori,/images/cards-collection/professor-s-research-professor-oak-celebrations-024-025.webp,,NM,available,,
grafaiai-paldea-evolved-223-193,Grafaiai,Paldea Evolved,223/193,2023,Dark,SAR,Oswaldo KATO,/images/cards-collection/grafaiai-paldea-evolved-223-193.webp,,NM,available,7.58,2026-05-31
dondozo-scarlet-violet-207-198,Dondozo,Scarlet & Violet,207/198,2023,Water,SAR,AKIRA EGAWA,/images/cards-collection/dondozo-scarlet-violet-207-198.webp,,NM,available,14.08,2026-05-31
braviary-surging-sparks-214-191,Braviary,Surging Sparks,214/191,2024,Normal,SAR,Gapao,/images/cards-collection/braviary-surging-sparks-214-191.webp,,NM,available,5.86,2026-05-31
necrozma-alter-genesis-072-095-jp,Necrozma,Alter Genesis,072/095,2019,Psychic,Common,Hasuno,/images/cards-collection/necrozma-alter-genesis-072-095-jp.webp,,NM,available,,
wally-s-compassion-mega-evolution-176-132,Wally's Compassion,Mega Evolution,176/132,2025,Normal,Full Art,Iori Suzuki,/images/cards-collection/wally-s-compassion-mega-evolution-176-132.webp,,NM,available,4.24,2026-05-31
venusaur-v-swsh-promo-swsh100,Venusaur V,SWSH Promo,SWSH100,2021,Grass,Promo,aky CG Works,/images/cards-collection/venusaur-v-swsh-promo-swsh100.webp,,NM,available,,
charizard-dragon-majesty-3-70,Charizard,Dragon Majesty,3/70,2018,Fire,Holo,Ryota Murayama,/images/cards-collection/charizard-dragon-majesty-3-70.webp,,NM,available,14.79,2026-05-31
tsareena-ex-paradox-rift-220-182,Tsareena ex,Paradox Rift,220/182,2023,Grass,SAR,5ban Graphics,/images/cards-collection/tsareena-ex-paradox-rift-220-182.webp,,NM,available,2.12,2026-05-31
charizard-dragon-majesty-3-70-2,Charizard,Dragon Majesty,3/70,2018,Fire,Holo,Ryota Murayama,/images/cards-collection/charizard-dragon-majesty-3-70-2.webp,,NM,available,14.79,2026-05-31
eevee-swsh-black-star-promos-swsh118,Eevee,SWSH Black Star Promos,SWSH118,2021,Normal,Promo,Yuu Nishida,/images/cards-collection/eevee-swsh-black-star-promos-swsh118.webp,,NM,available,,
mandibuzz-white-flare-145-086,Mandibuzz,White Flare,145/086,2025,Dark,Other,Bun Toujo,/images/cards-collection/mandibuzz-white-flare-145-086.webp,,NM,available,7.12,2026-05-31
gravity-mountain-surging-sparks-250-191,Gravity Mountain,Surging Sparks,250/191,2024,Normal,SR,AYUMI ODASHIMA,/images/cards-collection/gravity-mountain-surging-sparks-250-191.webp,,NM,available,10.34,2026-05-31
fairy-energy-xy-base-set-131-146,Fairy Energy,XY Base Set,131/146,2013,Fairy,Common,Ryo Ueda,/images/cards-collection/fairy-energy-xy-base-set-131-146.webp,,NM,available,,
night-stretcher-mega-evolution-173-132,Night Stretcher,Mega Evolution,173/132,2025,Normal,SR,Toyste Beach,/images/cards-collection/night-stretcher-mega-evolution-173-132.webp,,NM,available,5.43,2026-05-31
mienshao-white-flare-134-086,Mienshao,White Flare,134/086,2025,Fighting,Other,Atsuya Uki,/images/cards-collection/mienshao-white-flare-134-086.webp,,NM,available,8.02,2026-05-31
snorlax-hidden-fates-50-68,Snorlax,Hidden Fates,50/68,2019,Normal,Rare,Akira Komayama,/images/cards-collection/snorlax-hidden-fates-50-68.webp,,NM,available,2.58,2026-05-31
clauncher-scarlet-violet-205-198,Clauncher,Scarlet & Violet,205/198,2023,Water,SAR,Shinya Komatsu,/images/cards-collection/clauncher-scarlet-violet-205-198.webp,,NM,available,8,2026-05-31
m-rayquaza-ex-roaring-skies-76-108,M Rayquaza EX,Roaring Skies,76/108,2015,Dragon,Full Art,5ban Graphics,/images/cards-collection/m-rayquaza-ex-roaring-skies-76-108.webp,,NM,available,,
eevee-lost-thunder-155-214,Eevee,Lost Thunder,155/214,2018,Normal,Common,Sekio,/images/cards-collection/eevee-lost-thunder-155-214.webp,,NM,available,0.69,2026-05-31
artazon-obsidian-flames-229-197,Artazon,Obsidian Flames,229/197,2023,Normal,UR,Oswaldo KATO,/images/cards-collection/artazon-obsidian-flames-229-197.webp,,NM,available,1.6,2026-05-31
raging-bolt-ex-temporal-forces-123-162,Raging Bolt ex,Temporal Forces,123/162,2024,Electric,Full Art,aky CG Works,/images/cards-collection/raging-bolt-ex-temporal-forces-123-162.webp,,NM,available,3.28,2026-05-31
koraidon-ex-scarlet-violet-247-198,Koraidon ex,Scarlet & Violet,247/198,2023,Fighting,SAR,Ryota Murayama,/images/cards-collection/koraidon-ex-scarlet-violet-247-198.webp,,NM,available,23.78,2026-05-31
slaking-paldea-evolved-162-193,Slaking,Paldea Evolved,162/193,2023,Normal,Rare,Yuya Oka,/images/cards-collection/slaking-paldea-evolved-162-193.webp,,NM,available,0.18,2026-05-31
vigoroth-paldea-evolved-161-193,Vigoroth,Paldea Evolved,161/193,2023,Normal,Common,GIDORA,/images/cards-collection/vigoroth-paldea-evolved-161-193.webp,,NM,available,0.07,2026-05-31
slakoth-paldea-evolved-160-193,Slakoth,Paldea Evolved,160/193,2023,Normal,Common,Shigenori Negishi,/images/cards-collection/slakoth-paldea-evolved-160-193.webp,,NM,available,0.07,2026-05-31
espeon-lost-thunder-89-214,Espeon,Lost Thunder,89/214,2018,Psychic,Rare,Ryota Murayama,/images/cards-collection/espeon-lost-thunder-89-214.webp,,NM,available,8.1,2026-05-31
archaludon-stellar-crown-155-142,Archaludon,Stellar Crown,155/142,2024,Steel,SAR,Toshinao Aoki,/images/cards-collection/archaludon-stellar-crown-155-142.webp,,NM,available,3.91,2026-05-31
applin-twilight-masquerade-185-167,Applin,Twilight Masquerade,185/167,2024,Dragon,SAR,Katsunori Sato,/images/cards-collection/applin-twilight-masquerade-185-167.webp,,NM,available,11.3,2026-05-31
garganacl-paradox-rift-202-182,Garganacl,Paradox Rift,202/182,2023,Fighting,SAR,kodama,/images/cards-collection/garganacl-paradox-rift-202-182.webp,,NM,available,5.81,2026-05-31
blaziken-v-chilling-reign-020-198,Blaziken V,Chilling Reign,020/198,2021,Fire,Full Art,Ayaka Yoshida,/images/cards-collection/blaziken-v-chilling-reign-020-198.webp,,NM,available,,
mega-lucario-ex-surging-sparks-077-132,Mega Lucario ex,Surging Sparks,077/132,2025,Fighting,Holo,5ban Graphics,/images/cards-collection/mega-lucario-ex-surging-sparks-077-132.webp,,NM,available,,
tyranitar-v-fusion-strike-158-264,Tyranitar V,Fusion Strike,158/264,2021,Dark,Full Art,5ban Graphics,/images/cards-collection/tyranitar-v-fusion-strike-158-264.webp,,NM,available,0.97,2026-05-31
mega-mawile-ex-mega-destined-094-132,Mega Mawile ex,Mega Destined,094/132,2025,Steel,Full Art,aky CG Works,/images/cards-collection/mega-mawile-ex-mega-destined-094-132.webp,,NM,available,,
clemont-s-quick-wit-surging-sparks-229-191,Clemont's Quick Wit,Surging Sparks,229/191,2024,Electric,SAR,Naoki Saito,/images/cards-collection/clemont-s-quick-wit-surging-sparks-229-191.webp,,NM,available,1.19,2026-05-31
rayquaza-v-crown-zenith-100-159,Rayquaza V,Crown Zenith,100/159,2023,Dragon,Full Art,PLANETA Mochizuki,/images/cards-collection/rayquaza-v-crown-zenith-100-159.webp,,NM,available,1.48,2026-05-31
gumshoos-mega-evolution-153-132,Gumshoos,Mega Evolution,153/132,2025,Normal,Other,Mina Nakai,/images/cards-collection/gumshoos-mega-evolution-153-132.webp,,NM,available,4.29,2026-05-31
mega-signal-mega-evolution-171-132,Mega Signal,Mega Evolution,171/132,2025,Normal,SR,inose yukie,/images/cards-collection/mega-signal-mega-evolution-171-132.webp,,NM,available,1.08,2026-05-31
porygon-z-paradox-rift-214-182,Porygon-Z,Paradox Rift,214/182,2023,Normal,SAR,GOSSAN,/images/cards-collection/porygon-z-paradox-rift-214-182.webp,,NM,available,12.14,2026-05-31
steelix-v-vivid-voltage-176-185,Steelix V,Vivid Voltage,176/185,2020,Steel,Full Art,Satoshi Shirai,/images/cards-collection/steelix-v-vivid-voltage-176-185.webp,,NM,available,5.05,2026-05-31
galarian-sirfetch-d-v-vivid-voltage-174-185,Galarian Sirfetch'd V,Vivid Voltage,174/185,2020,Fighting,Full Art,PLANETA Tsuji,/images/cards-collection/galarian-sirfetch-d-v-vivid-voltage-174-185.webp,,NM,available,2.11,2026-05-31
mewtwo-v-pokemon-go-swsh223,Mewtwo V,Pokémon GO,SWSH223,2022,Psychic,Promo,PLANETA Mochizuki,/images/cards-collection/mewtwo-v-pokemon-go-swsh223.webp,,NM,available,,
volo-lost-origin-211-196,Volo,Lost Origin,211/196,2022,Normal,SR,kirisAki,/images/cards-collection/volo-lost-origin-211-196.webp,,NM,available,4.25,2026-05-31
drayton-surging-sparks-232-191,Drayton,Surging Sparks,232/191,2024,Dragon,SAR,GIDORA,/images/cards-collection/drayton-surging-sparks-232-191.webp,,NM,available,1.14,2026-05-31
sawk-white-flare-130-086,Sawk,White Flare,130/086,2025,Fighting,SR,nagimiso,/images/cards-collection/sawk-white-flare-130-086.webp,,NM,available,7.95,2026-05-31
haunter-temporal-forces-103-162,Haunter,Temporal Forces,103/162,2024,Psychic,Common,MAHOU,/images/cards-collection/haunter-temporal-forces-103-162.webp,,NM,available,0.23,2026-05-31
haunter-temporal-forces-103-162-2,Haunter,Temporal Forces,103/162,2024,Psychic,Common,MAHOU,/images/cards-collection/haunter-temporal-forces-103-162-2.webp,,NM,available,0.23,2026-05-31
charcadet-stellar-crown-033-191,Charcadet,Stellar Crown,033/191,2024,Fire,Common,Mékayu,/images/cards-collection/charcadet-stellar-crown-033-191.webp,,NM,available,,
onix-pokemon-go-036-078,Onix,Pokémon GO,036/078,2022,Fighting,Common,Mitsuhiro Arita,/images/cards-collection/onix-pokemon-go-036-078.webp,,NM,available,,
okidogi-twilight-masquerade-111-167,Okidogi,Twilight Masquerade,111/167,2024,Fighting,Rare,Souichirou Gunjima,/images/cards-collection/okidogi-twilight-masquerade-111-167.webp,,NM,available,0.17,2026-05-31
ninetales-obsidian-flames-029-197,Ninetales,Obsidian Flames,029/197,2023,Fire,Uncommon,Yoshioka,/images/cards-collection/ninetales-obsidian-flames-029-197.webp,,NM,available,,
lapras-stellar-crown-031-142,Lapras,Stellar Crown,031/142,2024,Water,Holo,rika,/images/cards-collection/lapras-stellar-crown-031-142.webp,,NM,available,,
dedenne-breakthrough-57-162,Dedenne,BREAKthrough,57/162,2015,Electric,Common,Kouki Saitou,/images/cards-collection/dedenne-breakthrough-57-162.webp,,NM,available,0.34,2026-05-31
great-ball-firered-leafgreen-92-112,Great Ball,FireRed & LeafGreen,92/112,2004,Normal,Uncommon,Nakaoka,/images/cards-collection/great-ball-firered-leafgreen-92-112.webp,,NM,available,1.94,2026-05-31
charmeleon-hidden-fates-8-68,Charmeleon,Hidden Fates,8/68,2019,Fire,Common,Shin Nagasawa,/images/cards-collection/charmeleon-hidden-fates-8-68.webp,,NM,available,0.16,2026-05-31
eevee-hidden-fates-49-68,Eevee,Hidden Fates,49/68,2019,Normal,Common,Hitoshi Ariga,/images/cards-collection/eevee-hidden-fates-49-68.webp,,NM,available,0.2,2026-05-31
charmander-evolutions-9-108,Charmander,Evolutions,9/108,2016,Fire,Common,Mitsuhiro Arita,/images/cards-collection/charmander-evolutions-9-108.webp,,NM,available,0.16,2026-05-31
charmeleon-burning-shadows-19-147,Charmeleon,Burning Shadows,19/147,2017,Fire,Uncommon,kawayoo,/images/cards-collection/charmeleon-burning-shadows-19-147.webp,,NM,available,0.29,2026-05-31
flareon-sun-moon-promo-sm186,Flareon,Sun & Moon Promo,SM186,2018,Fire,Promo,Shin Nagasawa,/images/cards-collection/flareon-sun-moon-promo-sm186.webp,,NM,available,,
alolan-raichu-sun-moon-promos-sm65,Alolan Raichu,Sun & Moon Promos,SM65,2017,Electric,Promo,5ban Graphics,/images/cards-collection/alolan-raichu-sun-moon-promos-sm65.webp,,NM,available,,
alolan-raichu-crimson-invasion-31-111,Alolan Raichu,Crimson Invasion,31/111,2017,Electric,Rare,Akira Komayama,/images/cards-collection/alolan-raichu-crimson-invasion-31-111.webp,,NM,available,1.36,2026-05-31
dragonite-151-149-165-jp,Dragonite,151,149/165,2023,Dragon,RR,Sanosuke Sakuma,/images/cards-collection/dragonite-151-149-165-jp.webp,,NM,available,0.94,2026-05-31
duraludon-v-blue-sky-stream-073-127-jp,Duraludon V,Blue Sky Stream,073/127,2021,Steel,RR,aky CG Works,/images/cards-collection/duraludon-v-blue-sky-stream-073-127-jp.webp,,NM,available,,
mega-zygarde-ex-fever-burst-fighter-046-080-jp,Mega Zygarde ex,Fever-Burst Fighter,046/080,2016,Fighting,RR,takuyoa,/images/cards-collection/mega-zygarde-ex-fever-burst-fighter-046-080-jp.webp,,NM,available,,
regidrago-vstar-paradigm-trigger-077-098-jp,Regidrago VSTAR,Paradigm Trigger,077/098,2022,Dragon,RRR,PLANETA Yamashita,/images/cards-collection/regidrago-vstar-paradigm-trigger-077-098-jp.webp,,NM,available,,
regidrago-vstar-paradigm-trigger-077-098-jp-2,Regidrago VSTAR,Paradigm Trigger,077/098,2022,Dragon,RRR,PLANETA Yamashita,/images/cards-collection/regidrago-vstar-paradigm-trigger-077-098-jp-2.webp,,NM,available,,
mega-zygarde-ex-ruler-of-the-black-flame-097-080-jp,Mega Zygarde ex,Ruler of the Black Flame,097/080,2023,Fighting,SR,takuyoa,/images/cards-collection/mega-zygarde-ex-ruler-of-the-black-flame-097-080-jp.webp,,NM,available,,
mega-dragonite-ex-destined-rivals-126-193-jp,Mega Dragonite ex,Destined Rivals,126/193,2025,Dragon,RR,aky CG Works,/images/cards-collection/mega-dragonite-ex-destined-rivals-126-193-jp.webp,,NM,available,,
hawlucha-shiny-treasure-ex-282-190-jp,Hawlucha,Shiny Treasure ex,282/190,2023,Fighting,Other,Souichirou Gunjima,/images/cards-collection/hawlucha-shiny-treasure-ex-282-190-jp.webp,,NM,available,,
alolan-vulpix-v-incandescent-arcana-022-068-jp,Alolan Vulpix V,Incandescent Arcana,022/068,2022,Water,RR,Ryota Murayama,/images/cards-collection/alolan-vulpix-v-incandescent-arcana-022-068-jp.webp,,NM,available,,
olinight-future-flash-204-190-jp,Olinight,Future Flash,204/190,2023,Grass,Common,saino misaki,/images/cards-collection/olinight-future-flash-204-190-jp.webp,,NM,available,,
hoppip-shiny-treasure-ex-195-190-jp,Hoppip,Shiny Treasure ex,195/190,2023,Grass,SR,Saya Tsuruta,/images/cards-collection/hoppip-shiny-treasure-ex-195-190-jp.webp,,NM,available,,
charizard-ex-paradise-dragona-115-190-jp,Charizard ex,Paradise Dragona,115/190,2023,Fire,RR,5ban Graphics,/images/cards-collection/charizard-ex-paradise-dragona-115-190-jp.webp,,NM,available,,
hisuian-electrode-v-dark-phantasma-078-071-jp,Hisuian Electrode V,Dark Phantasma,078/071,2022,Grass,SR,5ban Graphics,/images/cards-collection/hisuian-electrode-v-dark-phantasma-078-071-jp.webp,,NM,available,,
salazzle-ex-crimson-haze-094-080-jp,Salazzle ex,Crimson Haze,094/080,2024,Fire,SR,5ban Graphics,/images/cards-collection/salazzle-ex-crimson-haze-094-080-jp.webp,,NM,available,,
mewtwo-lost-abyss-035-068-jp,Mewtwo,Lost Abyss,035/068,2022,Psychic,Rare,Atsushi Furusawa,/images/cards-collection/mewtwo-lost-abyss-035-068-jp.webp,,NM,available,,
origin-forme-dialga-vstar-vstar-universe-101-172-jp,Origin Forme Dialga VSTAR,VSTAR Universe,101/172,2022,Steel,RRR,5ban Graphics,/images/cards-collection/origin-forme-dialga-vstar-vstar-universe-101-172-jp.webp,,NM,available,,
rikurage-ex-shiny-treasure-ex-322-190-jp,Rikurage ex,Shiny Treasure ex,322/190,2023,Grass,SSR,5ban Graphics,/images/cards-collection/rikurage-ex-shiny-treasure-ex-322-190-jp.webp,,NM,available,,
golduck-crimson-haze-033-193-jp,Golduck,Crimson Haze,033/193,2025,Water,Uncommon,Jiro Sasumo,/images/cards-collection/golduck-crimson-haze-033-193-jp.webp,,NM,available,,
silcoon-terastal-festival-ex-007-193-jp,Silcoon,Terastal Festival ex,007/193,2025,Grass,Common,June,/images/cards-collection/silcoon-terastal-festival-ex-007-193-jp.webp,,NM,available,,
mega-gardevoir-ex-mega-symphonia-226-193-jp,Mega Gardevoir ex,Mega Symphonia,226/193,2025,Psychic,UR,Saboteri,/images/cards-collection/mega-gardevoir-ex-mega-symphonia-226-193-jp.webp,,NM,available,,
lugia-v-paradigm-trigger-079-098-jp,Lugia V,Paradigm Trigger,079/098,2022,Normal,RR,Mitsuhiro Arita,/images/cards-collection/lugia-v-paradigm-trigger-079-098-jp.webp,,NM,available,,
mega-glalie-ex-transformation-mask-224-193-jp,Mega Glalie ex,Transformation Mask,224/193,2025,Water,UR,Saboteri,/images/cards-collection/mega-glalie-ex-transformation-mask-224-193-jp.webp,,NM,available,,
telepass-energy-mewtwo-vs-mew-gx-premium-collection-079-080-jp,Telepass Energy,Mewtwo vs Mew-GX Premium Collection,079/080,2026,Psychic,UR,,/images/cards-collection/telepass-energy-mewtwo-vs-mew-gx-premium-collection-079-080-jp.webp,,NM,available,,
soublaze-ex-scarlet-violet-leki-start-006-022-jp,Soublaze ex,Scarlet & Violet Leki Start,006/022,2024,Fire,Other,5ban Graphics,/images/cards-collection/soublaze-ex-scarlet-violet-leki-start-006-022-jp.webp,,NM,available,,
charizard-matchless-fighters-017-184-jp,Charizard,Matchless Fighters,017/184,2021,Fire,Rare,NC Empire,/images/cards-collection/charizard-matchless-fighters-017-184-jp.webp,,NM,available,,
hop-s-dubwool-pokemon-card-game-classic-142-193-jp,Hop's Dubwool,Pokémon Card Game Classic,142/193,2025,Normal,Holo,Ryota Murayama,/images/cards-collection/hop-s-dubwool-pokemon-card-game-classic-142-193-jp.webp,,NM,available,,
